*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 21:16:02 192.168.87.151,10168084,172905,0,0
2017-07-19 21:16:03 192.168.87.152,103282,8064721,1480,0
2017-07-19 21:16:12 192.168.87.151,8095658,129790,0,0
2017-07-19 21:16:13 192.168.87.152,114116,9630488,1696,0
2017-07-19 21:16:22 192.168.87.151,9489620,159588,0,0
2017-07-19 21:16:23 192.168.87.152,114116,9630488,1287,0
2017-07-19 21:16:32 192.168.87.151,8992993,136980,0,0
2017-07-19 21:16:34 192.168.87.152,110490,8804967,-1,0
2017-07-19 21:16:42 192.168.87.151,5579906,97424,0,0
2017-07-19 21:16:43 192.168.87.152,107379,6627788,1146,0
2017-07-19 21:16:52 192.168.87.151,7140838,120201,0,0
2017-07-19 21:16:53 192.168.87.152,85312,6858686,1361,0
2017-07-19 21:17:02 192.168.87.151,8562445,148489,0,0
2017-07-19 21:17:02 192.168.87.152,94437,9354711,303,0
2017-07-19 21:17:12 192.168.87.151,7739388,131304,0,0
2017-07-19 21:17:12 192.168.87.152,154608,8913239,346,0
2017-07-19 21:17:22 192.168.87.151,9926492,165517,0,0
2017-07-19 21:17:22 192.168.87.152,154608,8913239,58,0
2017-07-19 21:17:32 192.168.87.151,10266806,163029,0,0
2017-07-19 21:17:32 192.168.87.152,129913,10109011,244,0
2017-07-19 21:17:42 192.168.87.151,10266806,163029,0,0
2017-07-19 21:17:42 192.168.87.152,107034,8562800,710,0
2017-07-19 21:17:52 192.168.87.151,7302557,117134,0,0
2017-07-19 21:17:53 192.168.87.152,98081,8097272,848,0
2017-07-19 21:18:02 192.168.87.151,8560473,142729,0,0
2017-07-19 21:18:03 192.168.87.152,119558,8905271,1214,0
2017-07-19 21:18:12 192.168.87.151,8016506,121393,0,0
2017-07-19 21:18:13 192.168.87.152,80842,7130267,1249,0
2017-07-19 21:18:22 192.168.87.151,7389029,109513,0,0
2017-07-19 21:18:23 192.168.87.152,94843,8675324,1084,0
2017-07-19 21:18:32 192.168.87.151,7094148,129907,0,0
2017-07-19 21:18:34 192.168.87.152,94843,8675324,-1,0
2017-07-19 21:18:42 192.168.87.151,2552470,58650,0,0
2017-07-19 21:18:42 192.168.87.152,78157,5061929,332,0
2017-07-19 21:18:52 192.168.87.151,7282719,118727,0,0
2017-07-19 21:18:53 192.168.87.152,108259,8382574,1704,0
2017-07-19 21:19:02 192.168.87.151,8931359,135926,0,0
2017-07-19 21:19:02 192.168.87.152,108259,8382574,115,0
2017-07-19 21:19:12 192.168.87.151,9230032,144808,0,0
2017-07-19 21:19:13 192.168.87.152,108259,8382574,1038,0
2017-07-19 21:19:22 192.168.87.151,5702178,94375,0,0
2017-07-19 21:19:23 192.168.87.152,100713,8554836,879,0
2017-07-19 21:19:32 192.168.87.151,5702178,94375,0,0
2017-07-19 21:19:33 192.168.87.152,75111,5468514,1322,0
2017-07-19 21:19:42 192.168.87.151,8469286,127658,0,0
2017-07-19 21:19:42 192.168.87.152,75111,5468514,52,0
2017-07-19 21:19:52 192.168.87.151,6475330,106572,0,0
2017-07-19 21:19:52 192.168.87.152,75111,5468514,716,0
2017-07-19 21:20:02 192.168.87.151,3802411,70609,0,0
2017-07-19 21:20:03 192.168.87.152,75111,5468514,1311,0
2017-07-19 21:20:12 192.168.87.151,5140274,95671,0,0
2017-07-19 21:20:13 192.168.87.152,75111,5468514,1057,0
2017-07-19 21:20:22 192.168.87.151,4073778,67040,0,0
2017-07-19 21:20:22 192.168.87.152,73169,5992847,618,0
2017-07-19 21:20:32 192.168.87.151,5772608,90615,0,0
2017-07-19 21:20:32 192.168.87.152,73169,5992847,185,0
2017-07-19 21:20:42 192.168.87.151,6397340,110327,0,0
2017-07-19 21:20:43 192.168.87.152,90370,6506509,796,0
2017-07-19 21:20:52 192.168.87.151,8919997,134925,0,0
2017-07-19 21:20:54 192.168.87.152,90370,6506509,-1,0
2017-07-19 21:21:02 192.168.87.151,4374930,78014,0,0
2017-07-19 21:21:03 192.168.87.152,90370,6506509,1501,0
2017-07-19 21:21:12 192.168.87.151,7518380,126837,0,0
2017-07-19 21:21:14 192.168.87.152,80572,7446634,-1,0
