*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-20 18:28:27 192.168.87.151,1056350,21105,0,0
2017-07-20 18:28:28 192.168.87.152,3299,3414,1291,0
2017-07-20 18:28:37 192.168.87.151,8493047,142240,0,0
2017-07-20 18:28:38 192.168.87.152,116894,9281681,463,0
2017-07-20 18:28:47 192.168.87.151,9172084,161696,0,0
2017-07-20 18:28:47 192.168.87.152,151477,11083958,323,0
2017-07-20 18:28:57 192.168.87.151,11055879,192396,0,0
2017-07-20 18:28:58 192.168.87.152,118301,8604058,581,0
2017-07-20 18:29:07 192.168.87.151,7902519,137878,0,0
2017-07-20 18:29:09 192.168.87.152,118301,8604058,-1,0
2017-07-20 18:29:17 192.168.87.151,5998188,106198,0,0
2017-07-20 18:29:19 192.168.87.152,118301,8604058,-1,0
2017-07-20 18:29:27 192.168.87.151,6174759,102183,0,0
2017-07-20 18:29:29 192.168.87.152,95564,7340207,-1,0
2017-07-20 18:29:37 192.168.87.151,4813448,87132,0,0
2017-07-20 18:29:39 192.168.87.152,95564,7340207,-1,0
2017-07-20 18:29:47 192.168.87.151,4813448,87132,0,0
2017-07-20 18:29:49 192.168.87.152,95564,7340207,-1,0
2017-07-20 18:29:57 192.168.87.151,2753891,59315,0,0
2017-07-20 18:29:59 192.168.87.152,95564,7340207,1736,0
2017-07-20 18:30:07 192.168.87.151,2753891,59315,0,0
2017-07-20 18:30:09 192.168.87.152,55801,3385856,-1,0
2017-07-20 18:30:17 192.168.87.151,5048341,82978,0,0
2017-07-20 18:30:19 192.168.87.152,55801,3385856,-1,0
2017-07-20 18:30:27 192.168.87.151,5048341,82978,0,0
2017-07-20 18:30:29 192.168.87.152,65182,6608871,-1,0
2017-07-20 18:30:37 192.168.87.151,7330106,116724,0,0
2017-07-20 18:30:38 192.168.87.152,65182,6608871,1278,0
2017-07-20 18:30:47 192.168.87.151,4131398,68107,0,0
2017-07-20 18:30:48 192.168.87.152,90400,7681625,1251,0
2017-07-20 18:30:57 192.168.87.151,11813413,182948,0,0
2017-07-20 18:30:59 192.168.87.152,146398,11974342,1863,0
2017-07-20 18:31:07 192.168.87.151,11074693,186196,0,0
2017-07-20 18:31:08 192.168.87.152,138703,7057662,1153,0
2017-07-20 18:31:17 192.168.87.151,5748180,106686,0,0
2017-07-20 18:31:18 192.168.87.152,128638,8450422,416,0
2017-07-20 18:31:27 192.168.87.151,9289401,152277,0,0
2017-07-20 18:31:28 192.168.87.152,128638,8450422,1005,0
2017-07-20 18:31:37 192.168.87.151,10149472,174466,0,0
2017-07-20 18:31:38 192.168.87.152,105910,8454606,760,0
2017-07-20 18:31:47 192.168.87.151,10149472,174466,0,0
2017-07-20 18:31:49 192.168.87.152,135412,10348885,1132,0
2017-07-20 18:31:57 192.168.87.151,10149472,174466,0,0
2017-07-20 18:31:58 192.168.87.152,135412,10348885,354,0
2017-07-20 18:32:07 192.168.87.151,4620228,81347,0,0
2017-07-20 18:32:08 192.168.87.152,77195,5456314,255,0
2017-07-20 18:32:17 192.168.87.151,10241310,164991,0,0
2017-07-20 18:32:18 192.168.87.152,92464,9384434,304,0
2017-07-20 18:32:27 192.168.87.151,6276233,98789,0,0
2017-07-20 18:32:28 192.168.87.152,111830,7120739,706,0
2017-07-20 18:32:37 192.168.87.151,9865632,149677,0,0
2017-07-20 18:32:38 192.168.87.152,105315,9302630,701,0
2017-07-20 18:32:47 192.168.87.151,10388169,167147,0,0
2017-07-20 18:32:48 192.168.87.152,127337,10136702,521,0
2017-07-20 18:32:57 192.168.87.151,7286051,120162,0,0
2017-07-20 18:32:58 192.168.87.152,98638,7820456,685,0
2017-07-20 18:33:07 192.168.87.151,8878986,139271,0,0
2017-07-20 18:33:08 192.168.87.152,98638,7820456,394,0
2017-07-20 18:33:17 192.168.87.151,6829211,110990,0,0
2017-07-20 18:33:18 192.168.87.152,89983,8175670,318,0
2017-07-20 18:33:27 192.168.87.151,7137203,108577,0,0
2017-07-20 18:33:29 192.168.87.152,102503,7327107,1444,0
2017-07-20 18:33:37 192.168.87.151,8922798,148039,0,0
2017-07-20 18:33:38 192.168.87.152,102503,7327107,566,0
2017-07-20 18:33:47 192.168.87.151,8922798,148039,0,0
2017-07-20 18:33:49 192.168.87.152,102503,7327107,-1,0
2017-07-20 18:33:57 192.168.87.151,3971300,72621,0,0
2017-07-20 18:33:58 192.168.87.152,102503,7327107,164,0
2017-07-20 18:34:07 192.168.87.151,3032771,56129,0,0
2017-07-20 18:34:09 192.168.87.152,72892,5302429,-1,0
2017-07-20 18:34:17 192.168.87.151,3748331,62791,0,0
2017-07-20 18:34:18 192.168.87.152,72892,5302429,754,0
2017-07-20 18:34:27 192.168.87.151,2520709,49755,0,0
2017-07-20 18:34:29 192.168.87.152,72892,5302429,-1,0
2017-07-20 18:34:37 192.168.87.151,1726951,34579,0,0
2017-07-20 18:34:39 192.168.87.152,72892,5302429,-1,0
2017-07-20 18:34:47 192.168.87.151,893783,21983,0,0
2017-07-20 18:34:49 192.168.87.152,30584,1929245,805,0
2017-07-20 18:34:57 192.168.87.151,4312688,76818,0,0
2017-07-20 18:34:58 192.168.87.152,30584,1929245,439,0
2017-07-20 18:35:07 192.168.87.151,2685254,46110,0,0
2017-07-20 18:35:09 192.168.87.152,30584,1929245,-1,0
2017-07-20 18:35:17 192.168.87.151,2485690,48094,0,0
2017-07-20 18:35:19 192.168.87.152,30584,1929245,-1,0
