*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 17:40:51 192.168.87.151,3624678,61386,0,0
2017-07-19 17:40:52 192.168.87.152,43096,3456131,1440,0
2017-07-19 17:41:01 192.168.87.151,5167218,85082,0,0
2017-07-19 17:41:02 192.168.87.152,83493,7269671,1621,0
2017-07-19 17:41:11 192.168.87.151,10087113,169431,0,0
2017-07-19 17:41:13 192.168.87.152,83493,7269671,-1,0
2017-07-19 17:41:21 192.168.87.151,6435941,111906,0,0
2017-07-19 17:41:23 192.168.87.152,83493,7269671,-1,0
2017-07-19 17:41:31 192.168.87.151,1238064,21459,0,0
2017-07-19 17:41:33 192.168.87.152,83493,7269671,-1,0
2017-07-19 17:41:41 192.168.87.151,4007824,67695,0,0
2017-07-19 17:41:42 192.168.87.152,83493,7269671,760,0
2017-07-19 17:41:51 192.168.87.151,7005861,134668,0,0
2017-07-19 17:41:52 192.168.87.152,83493,7269671,771,0
2017-07-19 17:42:01 192.168.87.151,7005861,134668,0,0
2017-07-19 17:42:02 192.168.87.152,83493,7269671,877,0
2017-07-19 17:42:11 192.168.87.151,6828810,115146,0,0
2017-07-19 17:42:12 192.168.87.152,74690,5627419,1100,0
2017-07-19 17:42:21 192.168.87.151,7553385,139896,0,0
2017-07-19 17:42:23 192.168.87.152,101506,8095673,-1,0
2017-07-19 17:42:31 192.168.87.151,7553385,139896,0,0
2017-07-19 17:42:33 192.168.87.152,101506,8095673,-1,0
2017-07-19 17:42:41 192.168.87.151,1697881,30936,0,0
2017-07-19 17:42:42 192.168.87.152,101506,8095673,1176,0
2017-07-19 17:42:51 192.168.87.151,1902369,38511,0,0
2017-07-19 17:42:53 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:43:01 192.168.87.151,5757434,93867,0,0
2017-07-19 17:43:03 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:43:11 192.168.87.151,5612945,90049,0,0
2017-07-19 17:43:13 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:43:21 192.168.87.151,5886775,105672,0,0
2017-07-19 17:43:23 192.168.87.152,58752,3670209,1571,0
2017-07-19 17:43:31 192.168.87.151,6067731,102555,0,0
2017-07-19 17:43:33 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:43:41 192.168.87.151,4315830,70202,0,0
2017-07-19 17:43:43 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:43:51 192.168.87.151,1362532,24951,0,0
2017-07-19 17:43:53 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:44:01 192.168.87.151,702248,18803,0,0
2017-07-19 17:44:03 192.168.87.152,58752,3670209,-1,0
2017-07-19 17:44:11 192.168.87.151,1109665,26822,0,0
2017-07-19 17:44:12 192.168.87.152,58752,3670209,741,0
2017-07-19 17:44:21 192.168.87.151,1109665,26822,0,0
2017-07-19 17:44:23 192.168.87.152,56232,4142833,-1,0
2017-07-19 17:44:31 192.168.87.151,6469464,129710,0,0
2017-07-19 17:44:33 192.168.87.152,56232,4142833,-1,0
2017-07-19 17:44:41 192.168.87.151,1612346,34332,0,0
2017-07-19 17:44:43 192.168.87.152,56232,4142833,-1,0
2017-07-19 17:44:51 192.168.87.151,184526,6626,0,0
2017-07-19 17:44:53 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:01 192.168.87.151,1738151,33849,0,0
2017-07-19 17:45:03 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:11 192.168.87.151,630651,13699,0,0
2017-07-19 17:45:13 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:21 192.168.87.151,109204,3712,0,0
2017-07-19 17:45:23 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:31 192.168.87.151,84278,4467,0,0
2017-07-19 17:45:33 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:41 192.168.87.151,213916,9650,0,0
2017-07-19 17:45:43 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:45:51 192.168.87.151,13367,1430,0,0
2017-07-19 17:45:53 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:46:01 192.168.87.151,15712,1485,0,0
2017-07-19 17:46:03 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:46:11 192.168.87.151,15712,1485,0,0
2017-07-19 17:46:13 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:46:21 192.168.87.151,11229,1140,0,0
2017-07-19 17:46:23 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:46:31 192.168.87.151,15717,1331,0,0
2017-07-19 17:46:33 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:46:41 192.168.87.151,21586,1352,0,0
2017-07-19 17:46:42 192.168.87.152,39727,1639220,397,0
2017-07-19 17:46:51 192.168.87.151,3246692,64939,0,0
2017-07-19 17:46:52 192.168.87.152,39727,1639220,1279,0
2017-07-19 17:47:01 192.168.87.151,1503101,31321,0,0
2017-07-19 17:47:03 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:47:11 192.168.87.151,1457374,28127,0,0
2017-07-19 17:47:13 192.168.87.152,39727,1639220,-1,0
2017-07-19 17:47:21 192.168.87.151,788190,17599,0,0
2017-07-19 17:47:23 192.168.87.152,12997,747951,1568,0
2017-07-19 17:47:31 192.168.87.151,2928802,56195,0,0
2017-07-19 17:47:33 192.168.87.152,12997,747951,-1,0
2017-07-19 17:47:41 192.168.87.151,1856166,31511,0,0
2017-07-19 17:47:43 192.168.87.152,12997,747951,-1,0
2017-07-19 17:47:51 192.168.87.151,1801074,34586,0,0
2017-07-19 17:47:53 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:01 192.168.87.151,1801074,34586,0,0
2017-07-19 17:48:03 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:11 192.168.87.151,0,427,0,0
2017-07-19 17:48:13 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:21 192.168.87.151,0,0,-1,NaN
2017-07-19 17:48:21 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:31 192.168.87.151,0,0,-1,NaN
2017-07-19 17:48:31 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:41 192.168.87.151,0,0,-1,NaN
2017-07-19 17:48:41 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:51 192.168.87.152,12997,747951,-1,0
2017-07-19 17:48:51 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:01 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:01 192.168.87.152,12997,747951,-1,0
2017-07-19 17:49:11 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:11 192.168.87.152,12997,747951,-1,0
2017-07-19 17:49:21 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:21 192.168.87.152,12997,747951,-1,0
2017-07-19 17:49:31 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:31 192.168.87.152,12997,747951,-1,0
2017-07-19 17:49:41 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:41 192.168.87.152,12997,747951,-1,0
2017-07-19 17:49:51 192.168.87.151,0,0,-1,NaN
2017-07-19 17:49:51 192.168.87.152,12997,747951,-1,0
2017-07-19 17:50:01 192.168.87.151,0,0,-1,NaN
2017-07-19 17:50:01 192.168.87.152,12997,747951,-1,0
2017-07-19 17:50:11 192.168.87.151,0,0,-1,NaN
2017-07-19 17:50:11 192.168.87.152,12997,747951,-1,0
2017-07-19 17:50:21 192.168.87.151,0,0,-1,NaN
2017-07-19 17:50:21 192.168.87.152,12997,747951,-1,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 17:58:13 192.168.87.151,2864,916,0,0
2017-07-19 17:58:13 192.168.87.152,1545,2161,198,0
2017-07-19 17:58:23 192.168.87.151,2976198,58910,0,0
2017-07-19 17:58:23 192.168.87.152,36377,3223026,357,0
2017-07-19 17:58:33 192.168.87.151,5566229,94928,0,0
2017-07-19 17:58:33 192.168.87.152,118088,7833973,824,0
2017-07-19 17:58:43 192.168.87.151,9750622,165312,0,0
2017-07-19 17:58:45 192.168.87.152,92320,7742418,-1,0
2017-07-19 17:58:53 192.168.87.151,8213087,137735,0,0
2017-07-19 17:58:53 192.168.87.152,88376,8680709,678,0
2017-07-19 17:59:03 192.168.87.151,5532997,108237,0,0
2017-07-19 17:59:03 192.168.87.152,149417,7642763,366,0
2017-07-19 17:59:13 192.168.87.151,10427810,177564,0,0
2017-07-19 17:59:13 192.168.87.152,108636,10728626,604,0
2017-07-19 17:59:23 192.168.87.151,7082160,117140,0,0
2017-07-19 17:59:25 192.168.87.152,108636,10728626,-1,0
2017-07-19 17:59:33 192.168.87.151,7082160,117140,0,0
2017-07-19 17:59:33 192.168.87.152,108636,10728626,139,0
2017-07-19 17:59:43 192.168.87.151,3623236,69220,0,0
2017-07-19 17:59:43 192.168.87.152,68972,4068471,744,0
2017-07-19 17:59:53 192.168.87.151,3623236,69220,0,0
2017-07-19 17:59:54 192.168.87.152,80489,4654353,1829,0
2017-07-19 18:00:03 192.168.87.151,6717972,115119,0,0
2017-07-19 18:00:05 192.168.87.152,67339,6930351,-1,0
2017-07-19 18:00:13 192.168.87.151,6717972,115119,0,0
2017-07-19 18:00:15 192.168.87.152,67339,6930351,-1,0
2017-07-19 18:00:23 192.168.87.151,5274173,85285,0,0
2017-07-19 18:00:23 192.168.87.152,67339,6930351,740,0
2017-07-19 18:00:33 192.168.87.151,5241728,102034,0,0
2017-07-19 18:00:33 192.168.87.152,79066,5244569,733,0
2017-07-19 18:00:43 192.168.87.151,4629349,81932,0,0
2017-07-19 18:00:43 192.168.87.152,75871,5464410,487,0
2017-07-19 18:00:53 192.168.87.151,5042262,87703,0,0
2017-07-19 18:00:55 192.168.87.152,75871,5464410,1886,0
2017-07-19 18:01:03 192.168.87.151,2657956,48949,0,0
2017-07-19 18:01:05 192.168.87.152,75871,5464410,-1,0
2017-07-19 18:01:13 192.168.87.151,883714,16489,0,0
2017-07-19 18:01:15 192.168.87.152,75871,5464410,-1,0
2017-07-19 18:01:23 192.168.87.151,2398965,45210,0,0
2017-07-19 18:01:25 192.168.87.152,75871,5464410,-1,0
2017-07-19 18:01:33 192.168.87.151,5345224,94481,0,0
2017-07-19 18:01:34 192.168.87.152,75871,5464410,1215,0
