*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-28 20:09:57 192.168.87.116,1332093,30784,0,0
2017-07-28 20:09:58 192.168.87.152,65572,3209401,76,0
2017-07-28 20:10:07 192.168.87.116,1332093,30784,0,0
2017-07-28 20:10:09 192.168.87.152,41035,1970343,-1,0
2017-07-28 20:10:17 192.168.87.116,3474364,80338,0,0
2017-07-28 20:10:18 192.168.87.152,41035,1970343,33,0
2017-07-28 20:10:28 192.168.87.116,1495770,34413,0,0
2017-07-28 20:10:28 192.168.87.152,64420,3085936,47,0
2017-07-28 20:10:38 192.168.87.116,9101633,195232,0,0
2017-07-28 20:10:38 192.168.87.152,158619,8079329,112,0
2017-07-28 20:10:48 192.168.87.116,4890478,107647,0,0
2017-07-28 20:10:48 192.168.87.152,158619,8079329,39,0
2017-07-28 20:10:58 192.168.87.116,4047703,90753,0,0
2017-07-28 20:11:00 192.168.87.152,158619,8079329,-1,0
2017-07-28 20:11:08 192.168.87.116,1842902,42301,0,0
2017-07-28 20:11:08 192.168.87.152,79073,3773184,543,0
2017-07-28 20:11:18 192.168.87.116,4264625,101413,0,0
2017-07-28 20:11:18 192.168.87.152,94217,4375861,33,0
2017-07-28 20:11:28 192.168.87.116,3187065,80216,0,0
2017-07-28 20:11:28 192.168.87.152,94217,4375861,72,0
2017-07-28 20:11:38 192.168.87.116,3187065,80216,0,0
2017-07-28 20:11:38 192.168.87.152,109280,5087892,63,0
2017-07-28 20:11:48 192.168.87.116,5612489,127773,0,0
2017-07-28 20:11:48 192.168.87.152,76517,3585774,66,0
2017-07-28 20:11:58 192.168.87.116,4915755,114772,0,0
2017-07-28 20:11:58 192.168.87.152,101807,4633953,70,0
2017-07-28 20:12:08 192.168.87.116,1897507,46348,0,0
2017-07-28 20:12:08 192.168.87.152,57194,2535256,205,0
2017-07-28 20:12:18 192.168.87.116,1117215,29484,0,0
2017-07-28 20:12:18 192.168.87.152,22982,917335,299,0
2017-07-28 20:12:28 192.168.87.116,2213997,53943,0,0
2017-07-28 20:12:29 192.168.87.152,59024,2639777,1207,0
2017-07-28 20:12:38 192.168.87.116,1061643,27764,0,0
2017-07-28 20:12:38 192.168.87.152,33180,1360946,801,0
2017-07-28 20:12:48 192.168.87.116,2200752,59404,0,0
2017-07-28 20:12:48 192.168.87.152,46362,1975714,52,0
