
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-28 20:36:05 192.168.87.116,9172339,199592,0,0
2017-07-28 20:36:05 192.168.87.152,189338,9290615,453,0
2017-07-28 20:36:15 192.168.87.116,5905321,130764,0,0
2017-07-28 20:36:15 192.168.87.152,128727,6338714,229,0
2017-07-28 20:36:25 192.168.87.116,9652755,205747,0,0
2017-07-28 20:36:25 192.168.87.152,180429,9251440,174,0
2017-07-28 20:36:35 192.168.87.116,9077236,209339,0,0
2017-07-28 20:36:35 192.168.87.152,180429,9251440,225,0
2017-07-28 20:36:45 192.168.87.116,2109169,51383,0,0
2017-07-28 20:36:45 192.168.87.152,132381,6120102,52,0
2017-07-28 20:36:55 192.168.87.116,5579268,124052,0,0
2017-07-28 20:36:57 192.168.87.152,132381,6120102,-1,0
2017-07-28 20:37:05 192.168.87.116,197006,5676,0,0
2017-07-28 20:37:07 192.168.87.152,132381,6120102,-1,0
2017-07-28 20:37:15 192.168.87.116,197006,5676,0,0
2017-07-28 20:37:15 192.168.87.152,50846,2331649,189,0
2017-07-28 20:37:25 192.168.87.116,2531853,57599,0,0
2017-07-28 20:37:26 192.168.87.152,50846,2331649,1038,0
2017-07-28 20:37:35 192.168.87.116,3451163,78483,0,0
2017-07-28 20:37:37 192.168.87.152,50846,2331649,-1,0
2017-07-28 20:37:45 192.168.87.116,3451163,78483,0,0
2017-07-28 20:37:46 192.168.87.152,50846,2331649,1635,0
2017-07-28 20:37:55 192.168.87.116,550606,16558,0,0
2017-07-28 20:37:57 192.168.87.152,50846,2331649,-1,0
2017-07-28 20:38:05 192.168.87.116,252965,7831,0,0
2017-07-28 20:38:07 192.168.87.152,50846,2331649,-1,0
2017-07-28 20:38:15 192.168.87.116,9715,1100,0,0
2017-07-28 20:38:17 192.168.87.152,50846,2331649,-1,0
2017-07-28 20:38:25 192.168.87.116,7770,847,0,0
2017-07-28 20:38:25 192.168.87.152,32623,1418240,124,0
2017-07-28 20:38:35 192.168.87.116,756473,17677,0,0
2017-07-28 20:38:35 192.168.87.152,14363,446648,40,0
2017-07-28 20:38:45 192.168.87.116,3445560,79934,0,0
