*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-25 19:07:53 192.168.87.113,5105073,111226,0,0
2017-07-25 19:07:54 192.168.87.152,121048,6037088,1025,0
2017-07-25 19:08:03 192.168.87.113,2515383,59068,0,0
2017-07-25 19:08:03 192.168.87.152,62082,2992374,80,0
2017-07-25 19:08:13 192.168.87.113,3740257,84613,0,0
2017-07-25 19:08:13 192.168.87.152,72113,3519255,107,0
2017-07-25 19:08:23 192.168.87.113,2700200,63616,0,0
2017-07-25 19:08:23 192.168.87.152,74771,3339089,158,0
2017-07-25 19:08:33 192.168.87.113,4122350,93352,0,0
2017-07-25 19:08:33 192.168.87.152,85891,4247305,340,0
2017-07-25 19:08:43 192.168.87.113,3836632,88249,0,0
2017-07-25 19:08:45 192.168.87.152,65757,2963658,1276,0
2017-07-25 19:08:53 192.168.87.113,2647239,60818,0,0
2017-07-25 19:08:53 192.168.87.152,78136,3780474,164,0
2017-07-25 19:09:03 192.168.87.113,4501016,106195,0,0
2017-07-25 19:09:03 192.168.87.152,78136,3780474,304,0
2017-07-25 19:09:13 192.168.87.113,4078774,92971,0,0
2017-07-25 19:09:13 192.168.87.152,86614,4049562,214,0
2017-07-25 19:09:23 192.168.87.113,3056328,72673,0,0
2017-07-25 19:09:25 192.168.87.152,86614,4049562,-1,0
2017-07-25 19:09:33 192.168.87.113,3056328,72673,0,0
2017-07-25 19:09:33 192.168.87.152,86614,4049562,123,0
2017-07-25 19:09:43 192.168.87.113,1387313,34401,0,0
2017-07-25 19:09:43 192.168.87.152,86614,4049562,180,0
2017-07-25 19:09:53 192.168.87.113,2393641,56259,0,0
2017-07-25 19:09:54 192.168.87.152,86614,4049562,911,0
2017-07-25 19:10:03 192.168.87.113,424411,11275,0,0
2017-07-25 19:10:03 192.168.87.152,86614,4049562,168,0
2017-07-25 19:10:13 192.168.87.113,934590,23680,0,0
2017-07-25 19:10:15 192.168.87.152,41096,1837356,-1,0
2017-07-25 19:10:23 192.168.87.113,1313468,30030,0,0
2017-07-25 19:10:25 192.168.87.152,41096,1837356,-1,0
2017-07-25 19:10:33 192.168.87.113,34163,1564,0,0
2017-07-25 19:10:33 192.168.87.152,41096,1837356,615,0
2017-07-25 19:10:43 192.168.87.113,2528670,59040,0,0
2017-07-25 19:10:43 192.168.87.152,27651,1277660,118,0
2017-07-25 19:10:53 192.168.87.113,2943948,69969,0,0
2017-07-25 19:10:54 192.168.87.152,27651,1277660,1529,0
2017-07-25 19:11:03 192.168.87.113,1005002,25608,0,0
2017-07-25 19:11:03 192.168.87.152,44437,1960264,427,0
2017-07-25 19:11:13 192.168.87.113,1849534,47541,0,0
2017-07-25 19:11:13 192.168.87.152,44437,1960264,494,0
2017-07-25 19:11:23 192.168.87.113,1849534,47541,0,0
2017-07-25 19:11:23 192.168.87.152,44671,1949079,569,0
2017-07-25 19:11:33 192.168.87.113,1676874,40541,0,0
2017-07-25 19:11:33 192.168.87.152,33217,1419670,156,0
2017-07-25 19:11:43 192.168.87.113,2391511,55526,0,0
2017-07-25 19:11:43 192.168.87.152,56734,2698050,103,0
2017-07-25 19:11:53 192.168.87.113,2948127,72228,0,0
2017-07-25 19:11:53 192.168.87.152,70239,3284330,226,0
2017-07-25 19:12:03 192.168.87.113,1793220,46540,0,0
2017-07-25 19:12:04 192.168.87.152,70239,3284330,1371,0
2017-07-25 19:12:13 192.168.87.113,235232,6766,0,0
2017-07-25 19:12:13 192.168.87.152,70239,3284330,178,0
2017-07-25 19:12:23 192.168.87.113,1299906,30114,0,0
2017-07-25 19:12:25 192.168.87.152,25947,1103069,745,0
2017-07-25 19:12:33 192.168.87.113,1116343,28708,0,0
2017-07-25 19:12:33 192.168.87.152,25947,1103069,128,0
2017-07-25 19:12:43 192.168.87.113,1116343,28708,0,0
2017-07-25 19:12:43 192.168.87.152,25947,1103069,206,0
2017-07-25 19:12:53 192.168.87.113,1236046,32117,0,0
2017-07-25 19:12:55 192.168.87.152,25947,1103069,1106,0
2017-07-25 19:13:03 192.168.87.113,1038375,27195,0,0
2017-07-25 19:13:03 192.168.87.152,25947,1103069,132,0
2017-07-25 19:13:13 192.168.87.113,1038375,27195,0,0
2017-07-25 19:13:13 192.168.87.152,28731,1182663,115,0
2017-07-25 19:13:23 192.168.87.113,1205700,32211,0,0
2017-07-25 19:13:23 192.168.87.152,42839,1257596,303,0
2017-07-25 19:13:33 192.168.87.113,849670,27381,0,0
2017-07-25 19:13:33 192.168.87.152,42839,1257596,223,0
2017-07-25 19:13:43 192.168.87.113,504308,16514,0,0
2017-07-25 19:13:43 192.168.87.152,42839,1257596,185,0
2017-07-25 19:13:53 192.168.87.113,763497,23727,0,0
2017-07-25 19:13:53 192.168.87.152,21171,754436,49,0
2017-07-25 19:14:03 192.168.87.113,1333949,34522,0,0
2017-07-25 19:14:03 192.168.87.152,35970,1321575,37,0
2017-07-25 19:14:13 192.168.87.113,1651342,42738,0,0
2017-07-25 19:14:13 192.168.87.152,34308,1318378,99,0
2017-07-25 19:14:23 192.168.87.113,1166693,29851,0,0
2017-07-25 19:14:24 192.168.87.152,34308,1318378,1120,0
2017-07-25 19:14:33 192.168.87.113,686758,19181,0,0
2017-07-25 19:14:33 192.168.87.152,34308,1318378,243,0
2017-07-25 19:14:43 192.168.87.113,477563,14199,0,0
2017-07-25 19:14:43 192.168.87.152,34308,1318378,138,0
2017-07-25 19:14:53 192.168.87.113,327207,14341,0,0
2017-07-25 19:14:54 192.168.87.152,23099,886216,1003,0
2017-07-25 19:15:03 192.168.87.113,327207,14341,0,0
2017-07-25 19:15:04 192.168.87.152,12995,292762,1144,0
2017-07-25 19:15:13 192.168.87.113,244255,8955,0,0
2017-07-25 19:15:14 192.168.87.152,12995,292762,855,0
2017-07-25 19:15:23 192.168.87.113,377743,12388,0,0
2017-07-25 19:15:23 192.168.87.152,12995,292762,116,0
2017-07-25 19:15:33 192.168.87.113,109695,4728,0,0
2017-07-25 19:15:35 192.168.87.152,12995,292762,-1,0
2017-07-25 19:15:43 192.168.87.113,125484,5018,0,0
2017-07-25 19:15:45 192.168.87.152,12995,292762,-1,0
2017-07-25 19:15:53 192.168.87.113,11629,1032,0,0
2017-07-25 19:15:55 192.168.87.152,12995,292762,-1,0
2017-07-25 19:16:03 192.168.87.113,11364,989,0,0
2017-07-25 19:16:03 192.168.87.152,12995,292762,212,0
2017-07-25 19:16:13 192.168.87.113,17168,5399,0,0
2017-07-25 19:16:14 192.168.87.152,12995,292762,258,0
2017-07-25 19:16:23 192.168.87.113,11733,1414,0,0
2017-07-25 19:16:23 192.168.87.152,12995,292762,114,0
2017-07-25 19:16:33 192.168.87.113,8415,1052,0,0
2017-07-25 19:16:34 192.168.87.152,5666,111121,1235,0
2017-07-25 19:16:43 192.168.87.113,10255,1116,0,0
2017-07-25 19:16:44 192.168.87.152,5666,111121,684,0
2017-07-25 19:16:53 192.168.87.113,10255,1116,0,0
2017-07-25 19:16:55 192.168.87.152,5666,111121,-1,0
2017-07-25 19:17:03 192.168.87.113,9373,1351,0,0
2017-07-25 19:17:05 192.168.87.152,5666,111121,-1,0
