*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 21:01:01 192.168.87.151,7487540,142667,0,0
2017-07-19 21:01:11 192.168.87.151,6590546,108613,0,0
2017-07-19 21:01:13 192.168.87.152,114198,7405709,-1,0
2017-07-19 21:01:21 192.168.87.151,5836868,103386,0,0
2017-07-19 21:01:21 192.168.87.152,75201,6679543,370,0
2017-07-19 21:01:31 192.168.87.151,10114712,175293,0,0
2017-07-19 21:01:31 192.168.87.152,128827,8046852,521,0
2017-07-19 21:01:41 192.168.87.151,6982798,117598,0,0
2017-07-19 21:01:41 192.168.87.152,104914,8052253,523,0
2017-07-19 21:01:51 192.168.87.151,8829082,158340,0,0
2017-07-19 21:01:52 192.168.87.152,115741,11437706,985,0
2017-07-19 21:02:01 192.168.87.151,10155251,169903,0,0
2017-07-19 21:02:01 192.168.87.152,141015,7439323,451,0
2017-07-19 21:02:11 192.168.87.151,9506405,146984,0,0
2017-07-19 21:02:12 192.168.87.152,141015,7439323,979,0
2017-07-19 21:02:21 192.168.87.151,10845564,188784,0,0
2017-07-19 21:02:23 192.168.87.152,127437,10842791,1757,0
2017-07-19 21:02:31 192.168.87.151,10845564,188784,0,0
2017-07-19 21:02:31 192.168.87.152,127437,10842791,450,0
2017-07-19 21:02:41 192.168.87.151,10845564,188784,0,0
2017-07-19 21:02:41 192.168.87.152,110428,7758701,555,0
2017-07-19 21:02:51 192.168.87.151,6573668,109976,0,0
2017-07-19 21:02:51 192.168.87.152,113632,8899541,546,0
2017-07-19 21:03:01 192.168.87.151,8031215,137744,0,0
2017-07-19 21:03:01 192.168.87.152,86832,8669699,189,0
2017-07-19 21:03:11 192.168.87.151,8648568,147434,0,0
2017-07-19 21:03:11 192.168.87.152,131475,6946959,390,0
2017-07-19 21:03:21 192.168.87.151,6300759,102890,0,0
2017-07-19 21:03:21 192.168.87.152,131475,6946959,487,0
2017-07-19 21:03:31 192.168.87.151,8566607,142412,0,0
2017-07-19 21:03:31 192.168.87.152,99116,7781114,195,0
2017-07-19 21:03:41 192.168.87.151,9750353,168111,0,0
2017-07-19 21:03:42 192.168.87.152,131306,9475014,785,0
2017-07-19 21:03:51 192.168.87.151,7848194,125621,0,0
2017-07-19 21:03:51 192.168.87.152,130964,10634267,325,0
2017-07-19 21:04:01 192.168.87.151,8430771,136838,0,0
2017-07-19 21:04:01 192.168.87.152,86941,6680933,231,0
2017-07-19 21:04:11 192.168.87.151,4134289,72326,0,0
2017-07-19 21:04:12 192.168.87.152,43861,3031659,1044,0
2017-07-19 21:04:21 192.168.87.151,7382631,119784,0,0
2017-07-19 21:04:23 192.168.87.152,43861,3031659,1605,0
2017-07-19 21:04:31 192.168.87.151,7382631,119784,0,0
2017-07-19 21:04:31 192.168.87.152,117036,9200075,153,0
2017-07-19 21:04:41 192.168.87.151,8523642,139505,0,0
2017-07-19 21:04:41 192.168.87.152,90529,7067375,263,0
2017-07-19 21:04:51 192.168.87.151,7445235,119125,0,0
2017-07-19 21:04:53 192.168.87.152,128092,10314699,1795,0
2017-07-19 21:05:01 192.168.87.151,9522437,147845,0,0
2017-07-19 21:05:02 192.168.87.152,128092,10314699,1349,0
2017-07-19 21:05:11 192.168.87.151,5710520,91068,0,0
2017-07-19 21:05:12 192.168.87.152,128092,10314699,1467,0
2017-07-19 21:05:21 192.168.87.151,5412453,92852,0,0
2017-07-19 21:05:22 192.168.87.152,128092,10314699,710,0
2017-07-19 21:05:31 192.168.87.151,8747097,151439,0,0
2017-07-19 21:05:33 192.168.87.152,91555,7389498,619,0
2017-07-19 21:05:41 192.168.87.151,9972643,162311,0,0
2017-07-19 21:05:42 192.168.87.152,126997,9942477,839,0
2017-07-19 21:05:51 192.168.87.151,6958520,106400,0,0
2017-07-19 21:05:52 192.168.87.152,126997,9942477,963,0
2017-07-19 21:06:01 192.168.87.151,8271407,131095,0,0
2017-07-19 21:06:03 192.168.87.152,73312,8082916,-1,0
2017-07-19 21:06:11 192.168.87.151,8251589,148532,0,0
2017-07-19 21:06:12 192.168.87.152,73312,8082916,442,0
2017-07-19 21:06:21 192.168.87.151,8251589,148532,0,0
2017-07-19 21:06:22 192.168.87.152,73312,8082916,427,0
2017-07-19 21:06:31 192.168.87.151,7081310,113592,0,0
2017-07-19 21:06:31 192.168.87.152,116836,8106374,324,0
2017-07-19 21:06:41 192.168.87.151,5189421,100586,0,0
2017-07-19 21:06:41 192.168.87.152,84591,5565781,281,0
2017-07-19 21:06:51 192.168.87.151,9107069,141167,0,0
2017-07-19 21:06:52 192.168.87.152,87017,7433544,482,0
2017-07-19 21:07:01 192.168.87.151,6426752,103635,0,0
2017-07-19 21:07:02 192.168.87.152,87017,7433544,756,0
2017-07-19 21:07:11 192.168.87.151,5690345,94618,0,0
2017-07-19 21:07:13 192.168.87.152,74828,5924411,1589,0
2017-07-19 21:07:21 192.168.87.151,6232429,95585,0,0
2017-07-19 21:07:22 192.168.87.152,85150,6941025,956,0
2017-07-19 21:07:31 192.168.87.151,5024908,92476,0,0
2017-07-19 21:07:32 192.168.87.152,98687,6757109,570,0
2017-07-19 21:07:41 192.168.87.151,8106243,127368,0,0
2017-07-19 21:07:43 192.168.87.152,98687,6757109,-1,0
