*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 21:38:11 192.168.87.152,112897,11029496,1498,0
2017-07-19 21:38:20 192.168.87.151,9718862,163519,0,0
2017-07-19 21:38:21 192.168.87.152,140373,10681055,1306,0
2017-07-19 21:38:30 192.168.87.151,9807590,163259,0,0
2017-07-19 21:38:30 192.168.87.152,140373,10681055,313,0
2017-07-19 21:38:40 192.168.87.151,4272206,85073,0,0
2017-07-19 21:38:40 192.168.87.152,120763,7094876,428,0
2017-07-19 21:38:50 192.168.87.151,10963354,179871,0,0
2017-07-19 21:38:50 192.168.87.152,111885,11981402,464,0
2017-07-19 21:39:00 192.168.87.151,9447473,159993,0,0
2017-07-19 21:39:01 192.168.87.152,162016,9798751,826,0
2017-07-19 21:39:10 192.168.87.151,9586068,155010,0,0
2017-07-19 21:39:11 192.168.87.152,162016,9798751,1227,0
2017-07-19 21:39:20 192.168.87.151,8529685,147400,0,0
2017-07-19 21:39:20 192.168.87.152,162016,9798751,431,0
2017-07-19 21:39:30 192.168.87.151,5112148,100313,0,0
2017-07-19 21:39:30 192.168.87.152,98137,7612403,420,0
2017-07-19 21:39:40 192.168.87.151,7583212,126696,0,0
2017-07-19 21:39:40 192.168.87.152,121027,7943706,209,0
2017-07-19 21:39:50 192.168.87.151,7583212,126696,0,0
2017-07-19 21:39:51 192.168.87.152,110781,8210018,826,0
2017-07-19 21:40:00 192.168.87.151,9866672,165314,0,0
2017-07-19 21:40:00 192.168.87.152,96776,7263467,224,0
2017-07-19 21:40:10 192.168.87.151,6895967,111464,0,0
2017-07-19 21:40:10 192.168.87.152,114438,10796126,163,0
2017-07-19 21:40:20 192.168.87.151,10697139,168132,0,0
2017-07-19 21:40:20 192.168.87.152,137258,9262237,332,0
2017-07-19 21:40:30 192.168.87.151,10248310,161257,0,0
2017-07-19 21:40:31 192.168.87.152,109028,9052121,441,0
2017-07-19 21:40:40 192.168.87.151,7003433,109646,0,0
2017-07-19 21:40:41 192.168.87.152,109028,9052121,1252,0
2017-07-19 21:40:50 192.168.87.151,7802126,130616,0,0
2017-07-19 21:40:52 192.168.87.152,105454,8262709,-1,0
2017-07-19 21:41:00 192.168.87.151,6460919,109691,0,0
2017-07-19 21:41:00 192.168.87.152,58459,4230444,186,0
2017-07-19 21:41:10 192.168.87.151,7687229,123772,0,0
2017-07-19 21:41:10 192.168.87.152,136724,10725288,149,0
2017-07-19 21:41:20 192.168.87.151,9751445,154775,0,0
2017-07-19 21:41:20 192.168.87.152,122013,9815680,183,0
2017-07-19 21:41:30 192.168.87.151,9502217,150905,0,0
2017-07-19 21:41:31 192.168.87.152,122013,9815680,585,0
2017-07-19 21:41:40 192.168.87.151,9502217,150905,0,0
2017-07-19 21:41:41 192.168.87.152,74321,8621492,881,0
2017-07-19 21:41:50 192.168.87.151,5956611,96495,0,0
2017-07-19 21:41:51 192.168.87.152,101348,7668473,571,0
2017-07-19 21:42:00 192.168.87.151,9928124,161881,0,0
2017-07-19 21:42:01 192.168.87.152,155270,9023580,476,0
2017-07-19 21:42:10 192.168.87.151,9115793,140772,0,0
2017-07-19 21:42:11 192.168.87.152,79494,7192693,1013,0
2017-07-19 21:42:20 192.168.87.151,3097514,50601,0,0
2017-07-19 21:42:21 192.168.87.152,57640,4739268,951,0
2017-07-19 21:42:30 192.168.87.151,6810191,116559,0,0
2017-07-19 21:42:31 192.168.87.152,89448,6593851,500,0
2017-07-19 21:42:40 192.168.87.151,7332512,117692,0,0
2017-07-19 21:42:41 192.168.87.152,100527,8183632,585,0
2017-07-19 21:42:50 192.168.87.151,6329894,96746,0,0
2017-07-19 21:42:51 192.168.87.152,59262,7373888,1163,0
2017-07-19 21:43:00 192.168.87.151,7694764,137930,0,0
2017-07-19 21:43:02 192.168.87.152,59262,7373888,1731,0
2017-07-19 21:43:10 192.168.87.151,5676723,90393,0,0
2017-07-19 21:43:12 192.168.87.152,111838,5505277,1486,0
2017-07-19 21:43:20 192.168.87.151,5340516,84692,0,0
2017-07-19 21:43:21 192.168.87.152,72360,5977298,1033,0
2017-07-19 21:43:30 192.168.87.151,5340516,84692,0,0
2017-07-19 21:43:32 192.168.87.152,54261,5768722,1247,0
2017-07-19 21:43:40 192.168.87.151,6184174,135646,0,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-19 22:58:44 192.168.87.151,2685,717,0,0
2017-07-19 22:58:44 192.168.87.152,1928,2635,60,0
2017-07-19 22:58:54 192.168.87.151,2718,848,0,0
2017-07-19 22:58:54 192.168.87.152,1177,1875,99,0
2017-07-19 22:59:04 192.168.87.151,2399,658,0,0
2017-07-19 22:59:04 192.168.87.152,1867,2768,207,0
2017-07-19 22:59:14 192.168.87.151,2557,659,0,0
2017-07-19 22:59:14 192.168.87.152,1408,2215,38,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-20 17:59:05 192.168.87.151,2981,1380,0,0
2017-07-20 17:59:06 192.168.87.152,1930,2013,525,0
2017-07-20 17:59:15 192.168.87.151,11052323,183246,0,0
2017-07-20 17:59:16 192.168.87.152,116244,9501535,1265,0
2017-07-20 17:59:25 192.168.87.151,8938197,146259,0,0
2017-07-20 17:59:27 192.168.87.152,128101,10387760,1711,0
2017-07-20 17:59:35 192.168.87.151,10881607,180852,0,0
2017-07-20 17:59:36 192.168.87.152,103658,10485668,1167,0
2017-07-20 17:59:45 192.168.87.151,10574034,176520,0,0
2017-07-20 17:59:47 192.168.87.152,136633,10350399,1536,0
2017-07-20 17:59:55 192.168.87.151,7227136,124652,0,0
2017-07-20 17:59:57 192.168.87.152,136633,10350399,1762,0
2017-07-20 18:00:05 192.168.87.151,8047482,138474,0,0
2017-07-20 18:00:07 192.168.87.152,118276,6546387,-1,0
2017-07-20 18:00:15 192.168.87.151,805750,27868,0,0
