*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-08-03 16:19:14 192.168.87.116,2492626,60921,0,0
2017-08-03 16:19:15 192.168.87.152,84569,3817103,141,0
2017-08-03 16:19:24 192.168.87.116,3877063,91871,0,0
2017-08-03 16:19:25 192.168.87.152,58676,2686358,89,0
2017-08-03 16:19:34 192.168.87.116,3877063,91871,0,0
2017-08-03 16:19:36 192.168.87.152,81445,3684996,623,0
2017-08-03 16:19:44 192.168.87.116,2405969,58383,0,0
2017-08-03 16:19:45 192.168.87.152,53620,2379491,509,0
2017-08-03 16:19:54 192.168.87.116,3193933,78099,0,0
2017-08-03 16:19:55 192.168.87.152,57857,2542308,75,0
2017-08-03 16:20:04 192.168.87.116,2469939,60501,0,0
2017-08-03 16:20:06 192.168.87.152,53630,2387326,564,0
2017-08-03 16:20:14 192.168.87.116,2445244,59025,0,0
2017-08-03 16:20:16 192.168.87.152,68942,3128576,180,0
2017-08-03 16:20:24 192.168.87.116,2731994,72622,0,0
2017-08-03 16:20:25 192.168.87.152,46433,2555739,635,0
2017-08-03 16:20:34 192.168.87.116,1838208,50713,0,0
2017-08-03 16:20:35 192.168.87.152,46433,2555739,917,0
2017-08-03 16:20:44 192.168.87.116,1311346,34414,0,0
2017-08-03 16:20:45 192.168.87.152,46433,2555739,89,0
2017-08-03 16:20:55 192.168.87.116,1311346,34414,0,0
2017-08-03 16:20:55 192.168.87.152,48634,1766140,86,0
2017-08-03 16:21:05 192.168.87.116,2494150,61380,0,0
2017-08-03 16:21:05 192.168.87.152,52549,2223293,279,0
2017-08-03 16:21:15 192.168.87.116,1725649,45725,0,0
2017-08-03 16:21:16 192.168.87.152,38299,1631177,384,0
2017-08-03 16:21:25 192.168.87.116,994932,26953,0,0
2017-08-03 16:21:25 192.168.87.152,36074,1446662,755,0
2017-08-03 16:21:35 192.168.87.116,1694595,45652,0,0
2017-08-03 16:21:35 192.168.87.152,35895,1472109,575,0
2017-08-03 16:21:45 192.168.87.116,2892348,74069,0,0
2017-08-03 16:21:45 192.168.87.152,53419,2460096,689,0
2017-08-03 16:21:55 192.168.87.116,1805882,48070,0,0
2017-08-03 16:21:56 192.168.87.152,70868,3093220,938,0
2017-08-03 16:22:05 192.168.87.116,2079913,53504,0,0
2017-08-03 16:22:05 192.168.87.152,35959,1557298,54,0
2017-08-03 16:22:15 192.168.87.116,2392830,58112,0,0
2017-08-03 16:22:15 192.168.87.152,52195,2387638,232,0
2017-08-03 16:22:25 192.168.87.116,1755319,45367,0,0
2017-08-03 16:22:25 192.168.87.152,52195,2387638,230,0
2017-08-03 16:22:35 192.168.87.116,2607015,67252,0,0
2017-08-03 16:22:35 192.168.87.152,52195,2387638,313,0
2017-08-03 16:22:45 192.168.87.116,2607015,67252,0,0
2017-08-03 16:22:45 192.168.87.152,52195,2387638,109,0
2017-08-03 16:22:55 192.168.87.116,2981564,72911,0,0
2017-08-03 16:22:57 192.168.87.152,57184,2556612,-1,0
2017-08-03 16:23:05 192.168.87.116,1766646,46061,0,0
2017-08-03 16:23:05 192.168.87.152,64696,2783535,97,0
2017-08-03 16:23:15 192.168.87.116,2976069,77287,0,0
2017-08-03 16:23:16 192.168.87.152,64696,2783535,114,0
2017-08-03 16:23:25 192.168.87.116,1841011,52116,0,0
