*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 20:13:26 192.168.87.151,2770,808,0,0
2017-07-15 20:13:27 192.168.87.152,1341,2100,76,0
2017-07-15 20:13:36 192.168.87.151,2523,573,0,0
2017-07-15 20:13:36 192.168.87.152,1680,2297,91,0
2017-07-15 20:13:46 192.168.87.151,2847,933,0,0
2017-07-15 20:13:46 192.168.87.152,1680,2297,211,0
2017-07-15 20:13:56 192.168.87.151,1477,471,0,0
2017-07-15 20:13:56 192.168.87.152,1414,1481,50,0
2017-07-15 20:14:06 192.168.87.151,2232,658,0,0
2017-07-15 20:14:06 192.168.87.152,1414,1481,74,0
2017-07-15 20:14:16 192.168.87.151,1476,514,0,0
2017-07-15 20:14:16 192.168.87.152,1442,1560,203,0
2017-07-15 20:14:26 192.168.87.151,2785,762,0,0
2017-07-15 20:14:26 192.168.87.152,1813,2394,31,0
2017-07-15 20:14:36 192.168.87.151,2504,711,0,0
2017-07-15 20:14:36 192.168.87.152,1315,2052,72,0
2017-07-15 20:14:46 192.168.87.151,2674,658,0,0
2017-07-15 20:14:46 192.168.87.152,1452,2246,100,0
2017-07-15 20:14:56 192.168.87.151,2837,753,0,0
2017-07-15 20:14:56 192.168.87.152,1452,2246,32,0
2017-07-15 20:15:06 192.168.87.151,2837,753,0,0
2017-07-15 20:15:06 192.168.87.152,1363,2122,49,0
2017-07-15 20:15:16 192.168.87.151,2438,711,0,0
2017-07-15 20:15:16 192.168.87.152,1760,2360,231,0
2017-07-15 20:15:26 192.168.87.151,2684,712,0,0
2017-07-15 20:15:26 192.168.87.152,1687,2386,103,0
2017-07-15 20:15:36 192.168.87.151,2686,795,0,0
2017-07-15 20:15:36 192.168.87.152,1055,1946,22,0
2017-07-15 20:15:46 192.168.87.151,2425,658,0,0
2017-07-15 20:15:46 192.168.87.152,1705,2309,52,0
2017-07-15 20:15:56 192.168.87.151,2931,808,0,0
2017-07-15 20:15:56 192.168.87.152,1864,2478,78,0
2017-07-15 20:16:06 192.168.87.151,2720,710,0,0
2017-07-15 20:16:06 192.168.87.152,1270,2094,201,0
2017-07-15 20:16:16 192.168.87.151,2567,710,0,0
2017-07-15 20:16:16 192.168.87.152,1701,2287,37,0
2017-07-15 20:16:26 192.168.87.151,2774,763,0,0
2017-07-15 20:16:26 192.168.87.152,1722,2312,62,0
2017-07-15 20:16:36 192.168.87.151,2888,806,0,0
2017-07-15 20:16:36 192.168.87.152,1331,2124,96,0
2017-07-15 20:16:46 192.168.87.151,2541,710,0,0
2017-07-15 20:16:47 192.168.87.152,1331,2124,643,0
2017-07-15 20:16:56 192.168.87.151,2541,710,0,0
2017-07-15 20:16:56 192.168.87.152,1673,2216,54,0
2017-07-15 20:17:06 192.168.87.151,2839,763,0,0
2017-07-15 20:17:06 192.168.87.152,1801,2446,88,0
2017-07-15 20:17:16 192.168.87.151,2771,797,0,0
2017-07-15 20:17:16 192.168.87.152,1410,2146,121,0
2017-07-15 20:17:26 192.168.87.151,2601,765,0,0
2017-07-15 20:17:26 192.168.87.152,1830,2452,44,0
2017-07-15 20:17:36 192.168.87.151,2762,795,0,0
2017-07-15 20:17:36 192.168.87.152,1702,2395,69,0
2017-07-15 20:17:46 192.168.87.151,2897,763,0,0
2017-07-15 20:17:46 192.168.87.152,1342,2082,99,0
2017-07-15 20:17:56 192.168.87.151,2897,763,0,0
2017-07-15 20:17:56 192.168.87.152,1757,2327,32,0
2017-07-15 20:18:06 192.168.87.151,2645,733,0,0
2017-07-15 20:18:06 192.168.87.152,1699,2323,62,0
2017-07-15 20:18:16 192.168.87.151,2786,763,0,0
2017-07-15 20:18:16 192.168.87.152,1395,2124,195,0
2017-07-15 20:18:26 192.168.87.151,2517,710,0,0
2017-07-15 20:18:26 192.168.87.152,1670,2309,29,0
2017-07-15 20:18:36 192.168.87.151,2839,764,0,0
2017-07-15 20:18:36 192.168.87.152,1733,2335,12,0
2017-07-15 20:18:46 192.168.87.151,2839,764,0,0
2017-07-15 20:18:46 192.168.87.152,1733,2335,84,0
2017-07-15 20:18:56 192.168.87.151,2899,808,0,0
2017-07-15 20:18:56 192.168.87.152,1395,2210,103,0
2017-07-15 20:19:06 192.168.87.151,2535,658,0,0
2017-07-15 20:19:07 192.168.87.152,1750,2309,551,0
2017-07-15 20:19:16 192.168.87.151,2877,899,0,0
2017-07-15 20:19:16 192.168.87.152,1715,2379,54,0
