*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 19:36:44 192.168.87.151,2838,724,0,0
2017-07-15 19:36:44 192.168.87.152,1708,2255,37,0
2017-07-15 19:36:54 192.168.87.151,2794,796,0,0
2017-07-15 19:36:54 192.168.87.152,1678,2302,69,0
2017-07-15 19:37:04 192.168.87.151,2495,710,0,0
2017-07-15 19:37:04 192.168.87.152,1297,2109,91,0
2017-07-15 19:37:14 192.168.87.151,2861,808,0,0
2017-07-15 19:37:14 192.168.87.152,1681,2324,4,0
2017-07-15 19:37:24 192.168.87.151,2943,859,0,0
2017-07-15 19:37:24 192.168.87.152,1539,2328,7,0
2017-07-15 19:37:34 192.168.87.151,2376,659,0,0
2017-07-15 19:37:34 192.168.87.152,1754,2351,72,0
2017-07-15 19:37:44 192.168.87.151,2905,807,0,0
2017-07-15 19:37:44 192.168.87.152,1662,2284,11,0
2017-07-15 19:37:54 192.168.87.151,2771,764,0,0
2017-07-15 19:37:54 192.168.87.152,1410,2146,122,0
2017-07-15 19:38:04 192.168.87.151,2435,710,0,0
2017-07-15 19:38:04 192.168.87.152,1608,2289,254,0
2017-07-15 19:38:14 192.168.87.151,2907,806,0,0
2017-07-15 19:38:14 192.168.87.152,1608,2289,15,0
2017-07-15 19:38:24 192.168.87.151,2907,806,0,0
2017-07-15 19:38:25 192.168.87.152,1730,2406,93,0
2017-07-15 19:38:34 192.168.87.151,2808,848,0,0
2017-07-15 19:38:34 192.168.87.152,1547,2223,42,0
2017-07-15 19:38:44 192.168.87.151,2526,658,0,0
2017-07-15 19:38:44 192.168.87.152,1502,2255,60,0
2017-07-15 19:38:54 192.168.87.151,2948,892,0,0
2017-07-15 19:38:54 192.168.87.152,1823,2420,91,0
2017-07-15 19:39:04 192.168.87.151,2897,815,0,0
2017-07-15 19:39:04 192.168.87.152,1296,2076,33,0
2017-07-15 19:39:14 192.168.87.151,2467,659,0,0
2017-07-15 19:39:14 192.168.87.152,1782,2361,3,0
2017-07-15 19:39:24 192.168.87.151,2880,808,0,0
2017-07-15 19:39:24 192.168.87.152,1689,2341,89,0
2017-07-15 19:39:34 192.168.87.151,2765,762,0,0
2017-07-15 19:39:34 192.168.87.152,1451,2203,212,0
2017-07-15 19:39:44 192.168.87.151,2494,658,0,0
2017-07-15 19:39:44 192.168.87.152,1689,2309,48,0
2017-07-15 19:39:54 192.168.87.151,2494,658,0,0
2017-07-15 19:39:54 192.168.87.152,1763,2336,7,0
2017-07-15 19:40:04 192.168.87.151,2850,785,0,0
2017-07-15 19:40:04 192.168.87.152,1763,2336,5,0
2017-07-15 19:40:14 192.168.87.151,2850,785,0,0
2017-07-15 19:40:14 192.168.87.152,1338,2079,36,0
2017-07-15 19:40:24 192.168.87.151,2420,702,0,0
2017-07-15 19:40:25 192.168.87.152,1645,2364,74,0
2017-07-15 19:40:34 192.168.87.151,2838,848,0,0
2017-07-15 19:40:34 192.168.87.152,1601,2248,84,0
2017-07-15 19:40:44 192.168.87.151,3337,1109,0,0
2017-07-15 19:40:44 192.168.87.152,1449,2200,203,0
2017-07-15 19:40:54 192.168.87.151,2370,702,0,0
2017-07-15 19:40:54 192.168.87.152,1646,2375,31,0
2017-07-15 19:41:04 192.168.87.151,2858,710,0,0
2017-07-15 19:41:04 192.168.87.152,1777,2353,10,0
2017-07-15 19:41:14 192.168.87.151,2868,807,0,0
2017-07-15 19:41:14 192.168.87.152,1374,2139,93,0
2017-07-15 19:41:24 192.168.87.151,2292,658,0,0
2017-07-15 19:41:25 192.168.87.152,1463,2242,843,0
2017-07-15 19:41:34 192.168.87.151,2962,860,0,0
2017-07-15 19:41:34 192.168.87.152,1831,2340,46,0
2017-07-15 19:41:44 192.168.87.151,2898,764,0,0
2017-07-15 19:41:44 192.168.87.152,1388,2151,72,0
2017-07-15 19:41:54 192.168.87.151,2347,606,0,0
2017-07-15 19:41:54 192.168.87.152,1655,2285,2,0
2017-07-15 19:42:04 192.168.87.151,2347,606,0,0
2017-07-15 19:42:04 192.168.87.152,1655,2285,20,0
2017-07-15 19:42:14 192.168.87.151,2698,755,0,0
2017-07-15 19:42:14 192.168.87.152,1412,2199,54,0
2017-07-15 19:42:24 192.168.87.151,2769,795,0,0
2017-07-15 19:42:25 192.168.87.152,1461,2165,101,0
2017-07-15 19:42:34 192.168.87.151,2440,628,0,0
2017-07-15 19:42:34 192.168.87.152,1512,2268,36,0
2017-07-15 19:42:44 192.168.87.151,2762,976,0,0
2017-07-15 19:42:44 192.168.87.152,2127,2649,222,0
2017-07-15 19:42:54 192.168.87.151,2945,764,0,0
2017-07-15 19:42:54 192.168.87.152,1427,2243,49,0
2017-07-15 19:43:04 192.168.87.151,2468,660,0,0
2017-07-15 19:43:04 192.168.87.152,1743,2308,81,0
2017-07-15 19:43:14 192.168.87.151,2888,859,0,0
2017-07-15 19:43:14 192.168.87.152,1676,2344,210,0
2017-07-15 19:43:24 192.168.87.151,2806,763,0,0
2017-07-15 19:43:24 192.168.87.152,1479,2191,42,0
2017-07-15 19:43:34 192.168.87.151,2528,702,0,0
2017-07-15 19:43:34 192.168.87.152,1665,2280,88,0
2017-07-15 19:43:44 192.168.87.151,2827,763,0,0
2017-07-15 19:43:44 192.168.87.152,1646,2303,217,0
2017-07-15 19:43:54 192.168.87.151,2827,763,0,0
2017-07-15 19:43:54 192.168.87.152,1646,2303,37,0
2017-07-15 19:44:04 192.168.87.151,2780,764,0,0
2017-07-15 19:44:05 192.168.87.152,1281,2154,1002,0
