*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-12 19:34:44 192.168.87.5,19867,11178,0,0
2017-07-12 19:34:44 192.168.87.155,69046,24585,12,0
2017-07-12 19:34:54 192.168.87.5,18001,9272,0,0
2017-07-12 19:34:54 192.168.87.155,71371,26473,5,0
2017-07-12 19:35:04 192.168.87.5,18615,7150,0,0
2017-07-12 19:35:04 192.168.87.155,76295,25508,103,0
2017-07-12 19:35:14 192.168.87.5,22859,11132,0,0
2017-07-12 19:35:14 192.168.87.155,73624,24840,8,0
2017-07-12 19:35:24 192.168.87.5,20185,9391,0,0
2017-07-12 19:35:24 192.168.87.155,74369,25145,7,0
2017-07-12 19:35:34 192.168.87.5,17466,7186,0,0
2017-07-12 19:35:34 192.168.87.155,65050,24448,3,0
2017-07-12 19:35:44 192.168.87.5,17805,11110,0,0
2017-07-12 19:35:45 192.168.87.155,63496,23615,502,0
2017-07-12 19:35:54 192.168.87.5,18873,9144,0,0
2017-07-12 19:35:54 192.168.87.155,80880,28052,3,0
2017-07-12 19:36:04 192.168.87.5,20092,7278,0,0
2017-07-12 19:36:04 192.168.87.155,79117,25508,4,0
2017-07-12 19:36:14 192.168.87.5,21490,9181,0,0
2017-07-12 19:36:15 192.168.87.155,79117,25508,302,0
2017-07-12 19:36:24 192.168.87.5,21490,9181,0,0
2017-07-12 19:36:24 192.168.87.155,66471,23332,75,0
2017-07-12 19:36:34 192.168.87.5,22325,10178,0,0
2017-07-12 19:36:34 192.168.87.155,66471,23332,4,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-12 19:37:12 192.168.87.5,5237,2386,0,0
2017-07-12 19:37:22 192.168.87.5,9270,6210,0,0
2017-07-12 19:37:32 192.168.87.5,7825,10003,0,0
2017-07-12 19:37:42 192.168.87.5,2510,2316,0,0
2017-07-12 19:37:52 192.168.87.5,3953,6266,0,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-12 19:42:32 192.168.87.5,6067,6177,0,0
2017-07-12 19:42:42 192.168.87.5,5674,6170,0,0
2017-07-12 19:42:52 192.168.87.5,5674,6170,0,0
2017-07-12 19:43:02 192.168.87.5,4662,6322,0,0
2017-07-12 19:43:12 192.168.87.5,7956,6200,0,0
2017-07-12 19:43:22 192.168.87.5,7051,6339,0,0
*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-12 21:08:02 192.168.87.151,4319,788,0,0
2017-07-12 21:08:02 192.168.87.150,3797,2728,45,0
2017-07-12 21:08:12 192.168.87.151,4402,1182,0,0
2017-07-12 21:08:12 192.168.87.150,3063,3198,10,0
2017-07-12 21:08:22 192.168.87.151,6627,967,0,0
2017-07-12 21:08:22 192.168.87.150,2763,2599,3,0
2017-07-12 21:08:32 192.168.87.151,8095,828,0,0
2017-07-12 21:08:32 192.168.87.150,9416,2800,3,0
2017-07-12 21:08:42 192.168.87.151,7947,920,0,0
2017-07-12 21:08:42 192.168.87.150,5997,2773,11,0
2017-07-12 21:08:52 192.168.87.151,6470,920,0,0
2017-07-12 21:08:52 192.168.87.150,3075,2581,2,0
2017-07-12 21:09:02 192.168.87.151,6470,920,0,0
2017-07-12 21:09:02 192.168.87.150,3602,2707,2,0
2017-07-12 21:09:12 192.168.87.151,3882,852,0,0
2017-07-12 21:09:12 192.168.87.150,2865,2760,2,0
2017-07-12 21:09:22 192.168.87.151,8585,919,0,0
2017-07-12 21:09:22 192.168.87.150,4617,2658,16,0
2017-07-12 21:09:32 192.168.87.151,8585,919,0,0
2017-07-12 21:09:32 192.168.87.150,8220,2663,5,0
2017-07-12 21:09:42 192.168.87.151,8585,919,0,0
2017-07-12 21:09:42 192.168.87.150,8220,2663,55,0
2017-07-12 21:09:52 192.168.87.151,7220,876,0,0
2017-07-12 21:09:52 192.168.87.150,8220,2663,73,0
2017-07-12 21:10:02 192.168.87.151,3598,549,0,0
2017-07-12 21:10:02 192.168.87.150,3849,1580,84,0
2017-07-12 21:10:12 192.168.87.151,3352,895,0,0
2017-07-12 21:10:12 192.168.87.150,2806,2761,8,0
2017-07-12 21:10:22 192.168.87.151,5609,859,0,0
2017-07-12 21:10:22 192.168.87.150,4667,2599,4,0
2017-07-12 21:10:32 192.168.87.151,9775,963,0,0
2017-07-12 21:10:32 192.168.87.150,5865,2548,45,0
2017-07-12 21:10:42 192.168.87.151,5606,853,0,0
2017-07-12 21:10:42 192.168.87.150,5904,2688,65,0
2017-07-12 21:10:52 192.168.87.151,6687,955,0,0
2017-07-12 21:10:52 192.168.87.150,5377,2591,88,0
2017-07-12 21:11:02 192.168.87.151,5448,1299,0,0
2017-07-12 21:11:02 192.168.87.150,2483,2624,7,0
2017-07-12 21:11:12 192.168.87.151,3526,858,0,0
2017-07-12 21:11:12 192.168.87.150,2971,2601,27,0
2017-07-12 21:11:22 192.168.87.151,7145,964,0,0
2017-07-12 21:11:22 192.168.87.150,6868,3076,57,0
2017-07-12 21:11:32 192.168.87.151,7145,964,0,0
2017-07-12 21:11:32 192.168.87.150,6868,3076,68,0
2017-07-12 21:11:42 192.168.87.151,9412,988,0,0
2017-07-12 21:11:42 192.168.87.150,5684,2729,87,0
2017-07-12 21:11:52 192.168.87.151,5825,776,0,0
2017-07-12 21:11:52 192.168.87.150,6105,2862,12,0
2017-07-12 21:12:02 192.168.87.151,5825,776,0,0
2017-07-12 21:12:02 192.168.87.150,4826,4219,29,0
2017-07-12 21:12:12 192.168.87.151,5634,1815,0,0
2017-07-12 21:12:12 192.168.87.150,2497,3383,47,0
2017-07-12 21:12:22 192.168.87.151,4609,1015,0,0
2017-07-12 21:12:22 192.168.87.150,4607,2860,3,0
2017-07-12 21:12:32 192.168.87.151,9749,974,0,0
2017-07-12 21:12:32 192.168.87.150,7927,2707,3,0
2017-07-12 21:12:42 192.168.87.151,7190,930,0,0
2017-07-12 21:12:42 192.168.87.150,4278,2635,4,0
2017-07-12 21:12:52 192.168.87.151,6371,964,0,0
2017-07-12 21:12:52 192.168.87.150,6080,2678,124,0
2017-07-12 21:13:02 192.168.87.151,6296,3146,0,0
2017-07-12 21:13:02 192.168.87.150,6098,3918,5,0
2017-07-12 21:13:12 192.168.87.151,5351,972,0,0
2017-07-12 21:13:12 192.168.87.150,1910,2575,8,0
2017-07-12 21:13:22 192.168.87.151,5351,972,0,0
2017-07-12 21:13:22 192.168.87.150,1910,2575,200,0
2017-07-12 21:13:32 192.168.87.151,5471,921,0,0
2017-07-12 21:13:32 192.168.87.150,5224,2677,5,0
2017-07-12 21:13:42 192.168.87.151,9411,2323,0,0
2017-07-12 21:13:42 192.168.87.150,8241,4038,6,0
2017-07-12 21:13:52 192.168.87.151,7476,2057,0,0
2017-07-12 21:13:52 192.168.87.150,3795,2819,3,0
2017-07-12 21:14:02 192.168.87.151,4382,868,0,0
2017-07-12 21:14:02 192.168.87.150,5244,3073,4,0
2017-07-12 21:14:12 192.168.87.151,5268,972,0,0
2017-07-12 21:14:12 192.168.87.150,3519,2668,3,0
2017-07-12 21:14:22 192.168.87.151,6830,973,0,0
2017-07-12 21:14:22 192.168.87.150,3443,2641,95,0
2017-07-12 21:14:32 192.168.87.151,7319,920,0,0
2017-07-12 21:14:32 192.168.87.150,7758,2672,7,0
2017-07-12 21:14:42 192.168.87.151,7327,1017,0,0
2017-07-12 21:14:44 192.168.87.150,7758,2672,-1,0
