
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 18:56:39 192.168.87.151,2769,724,0,0
2017-07-15 18:56:39 192.168.87.152,1722,2369,3,0
2017-07-15 18:56:49 192.168.87.151,2970,848,0,0
2017-07-15 18:56:51 192.168.87.152,1273,2025,-1,0
2017-07-15 18:56:59 192.168.87.151,2237,658,0,0
2017-07-15 18:57:01 192.168.87.152,1498,2242,-1,0
2017-07-15 18:57:09 192.168.87.151,2545,924,0,0
2017-07-15 18:57:09 192.168.87.152,1445,2248,2,0
2017-07-15 18:57:19 192.168.87.151,2970,858,0,0
2017-07-15 18:57:19 192.168.87.152,1521,2185,7,0
2017-07-15 18:57:29 192.168.87.151,2459,658,0,0
2017-07-15 18:57:29 192.168.87.152,1698,2347,12,0
2017-07-15 18:57:39 192.168.87.151,2897,806,0,0
2017-07-15 18:57:39 192.168.87.152,1797,2389,2,0
2017-07-15 18:57:49 192.168.87.151,2866,763,0,0
2017-07-15 18:57:49 192.168.87.152,1408,2152,3,0
2017-07-15 18:57:59 192.168.87.151,2367,712,0,0
2017-07-15 18:57:59 192.168.87.152,1612,2295,74,0
2017-07-15 18:58:09 192.168.87.151,2807,808,0,0
2017-07-15 18:58:09 192.168.87.152,1690,2360,9,0
2017-07-15 18:58:19 192.168.87.151,2807,808,0,0
2017-07-15 18:58:19 192.168.87.152,1690,2360,43,0
2017-07-15 18:58:29 192.168.87.151,2868,848,0,0
2017-07-15 18:58:29 192.168.87.152,1410,2128,54,0
2017-07-15 18:58:39 192.168.87.151,2183,522,0,0
2017-07-15 18:58:39 192.168.87.152,1646,2453,6,0
2017-07-15 18:58:49 192.168.87.151,2968,847,0,0
2017-07-15 18:58:49 192.168.87.152,1738,2292,32,0
2017-07-15 18:58:59 192.168.87.151,2779,806,0,0
2017-07-15 18:58:59 192.168.87.152,1316,2198,65,0
2017-07-15 18:59:09 192.168.87.151,2573,711,0,0
2017-07-15 18:59:09 192.168.87.152,1708,2244,33,0
2017-07-15 18:59:19 192.168.87.151,2667,764,0,0
2017-07-15 18:59:19 192.168.87.152,1686,2354,27,0
2017-07-15 18:59:29 192.168.87.151,2904,806,0,0
2017-07-15 18:59:29 192.168.87.152,1360,2111,19,0
2017-07-15 18:59:39 192.168.87.151,2428,658,0,0
2017-07-15 18:59:39 192.168.87.152,1842,2437,56,0
2017-07-15 18:59:49 192.168.87.151,2834,763,0,0
2017-07-15 18:59:49 192.168.87.152,1601,2219,19,0
2017-07-15 18:59:59 192.168.87.151,2675,712,0,0
2017-07-15 18:59:59 192.168.87.152,1193,2115,64,0
2017-07-15 19:00:09 192.168.87.151,2675,712,0,0
2017-07-15 19:00:09 192.168.87.152,1193,2115,3,0
2017-07-15 19:00:19 192.168.87.151,2564,701,0,0
2017-07-15 19:00:19 192.168.87.152,1773,2349,27,0
2017-07-15 19:00:29 192.168.87.151,2910,849,0,0
2017-07-15 19:00:29 192.168.87.152,1792,2450,23,0
2017-07-15 19:00:39 192.168.87.151,2876,816,0,0
2017-07-15 19:00:39 192.168.87.152,1367,2079,38,0
2017-07-15 19:00:49 192.168.87.151,2401,659,0,0
2017-07-15 19:00:49 192.168.87.152,1743,2371,24,0
2017-07-15 19:00:59 192.168.87.151,2741,807,0,0
2017-07-15 19:00:59 192.168.87.152,1667,2350,14,0
2017-07-15 19:01:09 192.168.87.151,2866,763,0,0
2017-07-15 19:01:09 192.168.87.152,1324,2084,3,0
2017-07-15 19:01:19 192.168.87.151,2288,712,0,0
2017-07-15 19:01:19 192.168.87.152,1324,2084,3,0
2017-07-15 19:01:29 192.168.87.151,1395,514,0,0
2017-07-15 19:01:29 192.168.87.152,1324,2084,40,0
2017-07-15 19:01:39 192.168.87.151,1289,418,0,0
2017-07-15 19:01:39 192.168.87.152,1343,1292,31,0
2017-07-15 19:01:49 192.168.87.151,2825,1082,0,0
2017-07-15 19:01:49 192.168.87.152,2128,2269,39,0
2017-07-15 19:01:59 192.168.87.151,2825,1082,0,0
2017-07-15 19:01:59 192.168.87.152,2128,2269,17,0
2017-07-15 19:02:09 192.168.87.151,2906,764,0,0
2017-07-15 19:02:09 192.168.87.152,1758,2416,76,0
2017-07-15 19:02:19 192.168.87.151,2939,891,0,0
2017-07-15 19:02:19 192.168.87.152,1253,2057,5,0
2017-07-15 19:02:29 192.168.87.151,2475,710,0,0
2017-07-15 19:02:31 192.168.87.152,1253,2057,1604,0
2017-07-15 19:02:39 192.168.87.151,1403,502,0,0
2017-07-15 19:02:39 192.168.87.152,1525,1643,3,0
2017-07-15 19:02:49 192.168.87.151,2790,712,0,0
2017-07-15 19:02:49 192.168.87.152,1429,2207,13,0
2017-07-15 19:02:59 192.168.87.151,2440,755,0,0
2017-07-15 19:02:59 192.168.87.152,1391,2070,2,0
2017-07-15 19:03:09 192.168.87.151,2856,710,0,0
2017-07-15 19:03:09 192.168.87.152,1807,2547,2,0
2017-07-15 19:03:19 192.168.87.151,2843,763,0,0
2017-07-15 19:03:19 192.168.87.152,1379,2091,5,0
2017-07-15 19:03:29 192.168.87.151,2566,754,0,0
2017-07-15 19:03:31 192.168.87.152,1379,2091,-1,0
2017-07-15 19:03:39 192.168.87.151,1366,555,0,0
2017-07-15 19:03:39 192.168.87.152,1649,1678,5,0
2017-07-15 19:03:49 192.168.87.151,1366,555,0,0
2017-07-15 19:03:49 192.168.87.152,1649,1678,14,0
2017-07-15 19:03:59 192.168.87.151,2854,795,0,0
2017-07-15 19:03:59 192.168.87.152,1299,2076,8,0
2017-07-15 19:04:09 192.168.87.151,2396,575,0,0
2017-07-15 19:04:09 192.168.87.152,1737,2394,15,0
2017-07-15 19:04:19 192.168.87.151,2968,891,0,0
2017-07-15 19:04:19 192.168.87.152,1782,2395,7,0
2017-07-15 19:04:29 192.168.87.151,2777,764,0,0
