*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-15 19:48:47 192.168.87.151,2800,724,0,0
2017-07-15 19:48:47 192.168.87.152,1779,2443,3,0
2017-07-15 19:48:57 192.168.87.152,1779,2443,2,0
2017-07-15 19:48:57 192.168.87.151,2908,848,0,0
2017-07-15 19:49:07 192.168.87.151,1112,418,0,0
2017-07-15 19:49:07 192.168.87.152,1368,1477,12,0
2017-07-15 19:49:17 192.168.87.151,2757,764,0,0
2017-07-15 19:49:18 192.168.87.152,1613,2292,8,0
2017-07-15 19:49:27 192.168.87.151,2817,795,0,0
2017-07-15 19:49:29 192.168.87.152,1243,2134,1714,0
2017-07-15 19:49:37 192.168.87.151,2394,840,0,0
2017-07-15 19:49:37 192.168.87.152,1881,2435,4,0
2017-07-15 19:49:47 192.168.87.151,3025,763,0,0
2017-07-15 19:49:47 192.168.87.152,1747,2354,4,0
2017-07-15 19:49:57 192.168.87.151,2808,763,0,0
2017-07-15 19:49:57 192.168.87.152,1368,2134,5,0
2017-07-15 19:50:07 192.168.87.151,2522,753,0,0
2017-07-15 19:50:07 192.168.87.152,1725,2366,7,0
2017-07-15 19:50:17 192.168.87.151,2818,711,0,0
2017-07-15 19:50:17 192.168.87.152,1721,2295,8,0
2017-07-15 19:50:27 192.168.87.151,2818,711,0,0
2017-07-15 19:50:27 192.168.87.152,1721,2295,7,0
2017-07-15 19:50:37 192.168.87.151,2971,848,0,0
2017-07-15 19:50:37 192.168.87.152,1418,2141,9,0
2017-07-15 19:50:47 192.168.87.151,2971,848,0,0
2017-07-15 19:50:47 192.168.87.152,1844,2498,8,0
2017-07-15 19:50:57 192.168.87.151,2703,760,0,0
2017-07-15 19:50:57 192.168.87.152,1609,2236,3,0
2017-07-15 19:51:07 192.168.87.151,2806,763,0,0
2017-07-15 19:51:08 192.168.87.152,1435,2178,12,0
2017-07-15 19:51:17 192.168.87.151,2426,786,0,0
2017-07-15 19:51:17 192.168.87.152,1537,2229,88,0
2017-07-15 19:51:27 192.168.87.151,2707,764,0,0
2017-07-15 19:51:27 192.168.87.152,1675,2392,16,0
2017-07-15 19:51:37 192.168.87.151,2870,807,0,0
2017-07-15 19:51:37 192.168.87.152,1675,2392,6,0
2017-07-15 19:51:47 192.168.87.151,1065,418,0,0
2017-07-15 19:51:47 192.168.87.152,1482,1554,3,0
2017-07-15 19:51:57 192.168.87.151,2799,763,0,0
2017-07-15 19:51:57 192.168.87.152,1606,2184,3,0
2017-07-15 19:52:07 192.168.87.151,2711,753,0,0
2017-07-15 19:52:07 192.168.87.152,1283,2184,16,0
2017-07-15 19:52:17 192.168.87.151,2711,753,0,0
2017-07-15 19:52:19 192.168.87.152,1283,2184,-1,0
2017-07-15 19:52:27 192.168.87.151,2465,658,0,0
2017-07-15 19:52:27 192.168.87.152,1283,2184,3,0
2017-07-15 19:52:37 192.168.87.151,1425,639,0,0
2017-07-15 19:52:37 192.168.87.152,1513,1596,11,0
2017-07-15 19:52:47 192.168.87.151,2906,807,0,0
2017-07-15 19:52:47 192.168.87.152,1380,2147,7,0
2017-07-15 19:52:57 192.168.87.151,2470,658,0,0
2017-07-15 19:52:57 192.168.87.152,1663,2343,26,0
2017-07-15 19:53:07 192.168.87.151,2627,763,0,0
2017-07-15 19:53:07 192.168.87.152,1576,2212,2,0
2017-07-15 19:53:17 192.168.87.151,2855,755,0,0
2017-07-15 19:53:17 192.168.87.152,1421,2204,22,0
2017-07-15 19:53:27 192.168.87.151,2383,710,0,0
2017-07-15 19:53:27 192.168.87.152,1678,2383,10,0
2017-07-15 19:53:37 192.168.87.151,2869,807,0,0
2017-07-15 19:53:37 192.168.87.152,1635,2362,10,0
2017-07-15 19:53:47 192.168.87.151,2766,711,0,0
2017-07-15 19:53:47 192.168.87.152,1423,2125,15,0
2017-07-15 19:53:57 192.168.87.151,2411,657,0,0
2017-07-15 19:53:57 192.168.87.152,1503,2241,4,0
2017-07-15 19:54:07 192.168.87.151,2411,657,0,0
2017-07-15 19:54:08 192.168.87.152,1503,2241,392,0
2017-07-15 19:54:17 192.168.87.151,2801,808,0,0
2017-07-15 19:54:17 192.168.87.152,1823,2412,4,0
2017-07-15 19:54:27 192.168.87.151,2870,848,0,0
2017-07-15 19:54:27 192.168.87.152,1350,2095,31,0
2017-07-15 19:54:37 192.168.87.151,2517,660,0,0
2017-07-15 19:54:37 192.168.87.152,1350,2095,5,0
2017-07-15 19:54:47 192.168.87.151,1300,418,0,0
2017-07-15 19:54:47 192.168.87.152,1474,1559,18,0
2017-07-15 19:54:57 192.168.87.151,2561,763,0,0
2017-07-15 19:54:57 192.168.87.152,1291,2144,4,0
2017-07-15 19:55:07 192.168.87.151,2560,702,0,0
2017-07-15 19:55:07 192.168.87.152,1675,2293,13,0
2017-07-15 19:55:17 192.168.87.151,2804,763,0,0
2017-07-15 19:55:18 192.168.87.152,1675,2293,169,0
2017-07-15 19:55:27 192.168.87.151,1527,471,0,0
2017-07-15 19:55:27 192.168.87.152,1382,1486,5,0
2017-07-15 19:55:37 192.168.87.151,2572,710,0,0
2017-07-15 19:55:39 192.168.87.152,1382,1486,904,0
2017-07-15 19:55:47 192.168.87.151,1393,546,0,0
2017-07-15 19:55:47 192.168.87.152,1493,1623,8,0
2017-07-15 19:55:57 192.168.87.151,1393,546,0,0
2017-07-15 19:55:57 192.168.87.152,1493,1623,22,0
2017-07-15 19:56:07 192.168.87.151,2919,849,0,0
2017-07-15 19:56:07 192.168.87.152,1349,2095,5,0
2017-07-15 19:56:17 192.168.87.151,2427,626,0,0
2017-07-15 19:56:17 192.168.87.152,1801,2451,3,0
2017-07-15 19:56:27 192.168.87.151,2849,848,0,0
2017-07-15 19:56:27 192.168.87.152,1647,2289,22,0
2017-07-15 19:56:37 192.168.87.151,2869,763,0,0
2017-07-15 19:56:37 192.168.87.152,1391,2206,6,0
2017-07-15 19:56:47 192.168.87.151,2604,754,0,0
2017-07-15 19:56:47 192.168.87.152,1660,2176,4,0
2017-07-15 19:56:57 192.168.87.151,2621,712,0,0
2017-07-15 19:56:57 192.168.87.152,1792,2426,9,0
2017-07-15 19:57:07 192.168.87.151,2854,762,0,0
2017-07-15 19:57:07 192.168.87.152,1247,2076,16,0
2017-07-15 19:57:17 192.168.87.151,2436,710,0,0
2017-07-15 19:57:17 192.168.87.152,1900,2444,8,0
2017-07-15 19:57:27 192.168.87.151,2908,850,0,0
2017-07-15 19:57:27 192.168.87.152,1684,2301,8,0
2017-07-15 19:57:37 192.168.87.151,2838,763,0,0
2017-07-15 19:57:37 192.168.87.152,1418,2200,18,0
2017-07-15 19:57:47 192.168.87.151,2838,763,0,0
2017-07-15 19:57:47 192.168.87.152,1418,2200,17,0
2017-07-15 19:57:57 192.168.87.151,2456,659,0,0
2017-07-15 19:57:57 192.168.87.152,1621,2269,7,0
2017-07-15 19:58:08 192.168.87.151,2673,711,0,0
2017-07-15 19:58:08 192.168.87.152,1799,2422,6,0
2017-07-15 19:58:18 192.168.87.151,3063,899,0,0
2017-07-15 19:58:18 192.168.87.152,1799,2422,8,0
2017-07-15 19:58:28 192.168.87.151,881,357,0,0
2017-07-15 19:58:28 192.168.87.152,1341,1480,3,0
2017-07-15 19:58:38 192.168.87.151,2848,763,0,0
2017-07-15 19:58:38 192.168.87.152,1731,2274,8,0
2017-07-15 19:58:48 192.168.87.151,2856,764,0,0
2017-07-15 19:58:48 192.168.87.152,1319,2108,77,0
