*
*
*   Date      Time      IP,bpsIn,bpsOut,rtt(ms),packet loss(%)
2017-07-14 21:58:31 192.168.87.152,1768,2480,4,0
2017-07-14 21:58:41 192.168.87.151,2664,787,0,0
2017-07-14 21:58:42 192.168.87.152,1540,2263,89,0
2017-07-14 21:58:51 192.168.87.151,2990,902,0,0
2017-07-14 21:58:53 192.168.87.152,1454,1971,1133,0
2017-07-14 21:59:01 192.168.87.151,2458,767,0,0
2017-07-14 21:59:02 192.168.87.152,1731,2339,31,0
2017-07-14 21:59:11 192.168.87.151,2841,760,0,0
2017-07-14 21:59:12 192.168.87.152,1561,2125,892,0
2017-07-14 21:59:21 192.168.87.151,2806,815,0,0
2017-07-14 21:59:22 192.168.87.152,1625,2554,434,0
2017-07-14 21:59:32 192.168.87.151,2462,683,0,0
2017-07-14 21:59:32 192.168.87.152,1660,2227,129,0
2017-07-14 21:59:42 192.168.87.151,2776,683,0,0
2017-07-14 21:59:42 192.168.87.152,1713,2330,26,0
2017-07-14 21:59:52 192.168.87.151,2598,728,0,0
2017-07-14 21:59:52 192.168.87.152,1043,2001,10,0
2017-07-14 22:00:02 192.168.87.151,2493,678,0,0
2017-07-14 22:00:02 192.168.87.152,1826,2376,12,0
2017-07-14 22:00:12 192.168.87.151,2493,678,0,0
2017-07-14 22:00:14 192.168.87.152,1826,2376,-1,0
2017-07-14 22:00:22 192.168.87.151,2895,1003,0,0
2017-07-14 22:00:22 192.168.87.152,1504,1927,20,0
2017-07-14 22:00:32 192.168.87.151,3674,1702,0,0
2017-07-14 22:00:32 192.168.87.152,2562,2614,381,0
2017-07-14 22:00:42 192.168.87.151,2932,2339,0,0
2017-07-14 22:00:42 192.168.87.152,3181,2190,439,0
2017-07-14 22:00:52 192.168.87.151,3528,772,0,0
2017-07-14 22:00:52 192.168.87.152,1877,2586,14,0
2017-07-14 22:01:02 192.168.87.151,2850,775,0,0
2017-07-14 22:01:02 192.168.87.152,1713,2275,44,0
2017-07-14 22:01:12 192.168.87.151,2410,635,0,0
2017-07-14 22:01:14 192.168.87.152,1307,2052,-1,0
2017-07-14 22:01:22 192.168.87.151,2982,973,0,0
2017-07-14 22:01:22 192.168.87.152,1818,2453,321,0
2017-07-14 22:01:32 192.168.87.151,2838,772,0,0
2017-07-14 22:01:32 192.168.87.152,1384,2171,844,0
2017-07-14 22:01:42 192.168.87.151,2385,635,0,0
2017-07-14 22:01:42 192.168.87.152,1644,2156,66,0
2017-07-14 22:01:52 192.168.87.151,2869,774,0,0
2017-07-14 22:01:52 192.168.87.152,1742,2464,13,0
2017-07-14 22:02:02 192.168.87.151,2869,774,0,0
2017-07-14 22:02:02 192.168.87.152,1742,2464,235,0
2017-07-14 22:02:12 192.168.87.151,2555,719,0,0
2017-07-14 22:02:14 192.168.87.152,1224,2058,1900,0
2017-07-14 22:02:22 192.168.87.151,2324,682,0,0
2017-07-14 22:02:22 192.168.87.152,1460,2308,61,0
2017-07-14 22:02:32 192.168.87.151,3111,899,0,0
2017-07-14 22:02:32 192.168.87.152,1922,2427,96,0
2017-07-14 22:02:42 192.168.87.151,2769,728,0,0
2017-07-14 22:02:43 192.168.87.152,1459,2129,1231,0
2017-07-14 22:02:52 192.168.87.151,2387,719,0,0
2017-07-14 22:02:52 192.168.87.152,1722,2337,43,0
